seq,timestamp_server,timestamp_robot,latency_ms,status
1,2025-06-11 23:07:44.605,2025-06-11 23:07:44.612,7.0,received
2,2025-06-11 23:07:44.651,2025-06-11 23:07:44.657,6.0,received
3,2025-06-11 23:07:44.670,2025-06-11 23:07:44.675,5.0,received
4,2025-06-11 23:07:44.701,2025-06-11 23:07:44.707,6.0,received
5,2025-06-11 23:07:44.732,2025-06-11 23:07:44.737,5.0,received
6,2025-06-11 23:07:44.762,2025-06-11 23:07:44.768,6.0,received
7,2025-06-11 23:07:44.792,2025-06-11 23:07:44.798,6.0,received
8,2025-06-11 23:07:44.823,2025-06-11 23:07:44.828,5.0,received
9,2025-06-11 23:07:44.852,2025-06-11 23:07:44.858,6.0,received
10,2025-06-11 23:07:44.882,2025-06-11 23:07:44.888,6.0,received
11,2025-06-11 23:07:44.912,2025-06-11 23:07:44.918,6.0,received
12,2025-06-11 23:07:44.943,2025-06-11 23:07:44.949,6.0,received
13,2025-06-11 23:07:44.974,2025-06-11 23:07:44.980,6.0,received
14,2025-06-11 23:07:45.004,,,lost
15,2025-06-11 23:07:45.036,2025-06-11 23:07:45.043,7.0,received
16,2025-06-11 23:07:45.066,2025-06-11 23:07:45.072,6.0,received
17,2025-06-11 23:07:45.096,2025-06-11 23:07:45.102,6.0,received
18,2025-06-11 23:07:45.126,2025-06-11 23:07:45.132,6.0,received
19,2025-06-11 23:07:45.156,2025-06-11 23:07:45.162,6.0,received
20,2025-06-11 23:07:45.186,2025-06-11 23:07:45.192,6.0,received
21,2025-06-11 23:07:45.218,2025-06-11 23:07:45.223,5.0,received
22,2025-06-11 23:07:45.248,2025-06-11 23:07:45.254,6.0,received
23,2025-06-11 23:07:45.278,2025-06-11 23:07:45.284,6.0,received
24,2025-06-11 23:07:45.308,2025-06-11 23:07:45.314,6.0,received
25,2025-06-11 23:07:45.339,2025-06-11 23:07:45.344,5.0,received
26,2025-06-11 23:07:45.369,2025-06-11 23:07:45.374,5.0,received
27,2025-06-11 23:07:45.399,2025-06-11 23:07:45.404,5.0,received
28,2025-06-11 23:07:45.430,2025-06-11 23:07:45.435,5.0,received
29,2025-06-11 23:07:45.459,2025-06-11 23:07:45.465,6.0,received
30,2025-06-11 23:07:45.490,2025-06-11 23:07:45.496,6.0,received
31,2025-06-11 23:07:45.520,2025-06-11 23:07:45.526,6.0,received
32,2025-06-11 23:07:45.551,2025-06-11 23:07:45.557,6.0,received
33,2025-06-11 23:07:45.581,2025-06-11 23:07:45.587,6.0,received
34,2025-06-11 23:07:45.611,2025-06-11 23:07:45.617,6.0,received
35,2025-06-11 23:07:45.641,2025-06-11 23:07:45.647,6.0,received
36,2025-06-11 23:07:45.671,2025-06-11 23:07:45.677,6.0,received
37,2025-06-11 23:07:45.701,2025-06-11 23:07:45.707,6.0,received
38,2025-06-11 23:07:45.732,2025-06-11 23:07:45.738,6.0,received
39,2025-06-11 23:07:45.763,2025-06-11 23:07:45.769,6.0,received
40,2025-06-11 23:07:45.793,2025-06-11 23:07:45.799,6.0,received
41,2025-06-11 23:07:45.824,2025-06-11 23:07:45.830,6.0,received
42,2025-06-11 23:07:45.854,2025-06-11 23:07:45.860,6.0,received
43,2025-06-11 23:07:45.884,2025-06-11 23:07:45.893,9.0,received
44,2025-06-11 23:07:45.914,2025-06-11 23:07:45.920,6.0,received
45,2025-06-11 23:07:45.945,2025-06-11 23:07:45.951,6.0,received
46,2025-06-11 23:07:45.975,2025-06-11 23:07:45.979,4.0,received
47,2025-06-11 23:07:46.005,2025-06-11 23:07:46.011,6.0,received
48,2025-06-11 23:07:46.036,,,lost
49,2025-06-11 23:07:46.065,2025-06-11 23:07:46.072,7.0,received
50,2025-06-11 23:07:46.096,2025-06-11 23:07:46.102,6.0,received
51,2025-06-11 23:07:46.127,2025-06-11 23:07:46.137,10.0,received
52,2025-06-11 23:07:46.156,2025-06-11 23:07:46.162,6.0,received
53,2025-06-11 23:07:46.187,2025-06-11 23:07:46.193,6.0,received
54,2025-06-11 23:07:46.217,2025-06-11 23:07:46.223,6.0,received
55,2025-06-11 23:07:46.247,2025-06-11 23:07:46.252,5.0,received
56,2025-06-11 23:07:46.278,2025-06-11 23:07:46.284,6.0,received
57,2025-06-11 23:07:46.308,2025-06-11 23:07:46.314,6.0,received
58,2025-06-11 23:07:46.338,2025-06-11 23:07:46.344,6.0,received
59,2025-06-11 23:07:46.368,2025-06-11 23:07:46.374,6.0,received
60,2025-06-11 23:07:46.399,2025-06-11 23:07:46.404,5.0,received
61,2025-06-11 23:07:46.429,2025-06-11 23:07:46.435,6.0,received
62,2025-06-11 23:07:46.459,2025-06-11 23:07:46.465,6.0,received
63,2025-06-11 23:07:46.490,2025-06-11 23:07:46.502,12.0,received
64,2025-06-11 23:07:46.520,2025-06-11 23:07:46.527,7.0,received
65,2025-06-11 23:07:46.550,2025-06-11 23:07:46.557,7.0,received
66,2025-06-11 23:07:46.581,2025-06-11 23:07:46.587,6.0,received
67,2025-06-11 23:07:46.611,2025-06-11 23:07:46.618,7.0,received
68,2025-06-11 23:07:46.641,2025-06-11 23:07:46.647,6.0,received
69,2025-06-11 23:07:46.672,2025-06-11 23:07:46.679,7.0,received
70,2025-06-11 23:07:46.702,2025-06-11 23:07:46.709,7.0,received
71,2025-06-11 23:07:46.732,2025-06-11 23:07:46.740,8.0,received
72,2025-06-11 23:07:46.762,2025-06-11 23:07:46.769,7.0,received
73,2025-06-11 23:07:46.793,2025-06-11 23:07:46.800,7.0,received
74,2025-06-11 23:07:46.823,2025-06-11 23:07:46.829,6.0,received
75,2025-06-11 23:07:46.853,2025-06-11 23:07:46.858,5.0,received
76,2025-06-11 23:07:46.883,2025-06-11 23:07:46.890,7.0,received
77,2025-06-11 23:07:46.914,2025-06-11 23:07:46.921,7.0,received
78,2025-06-11 23:07:46.944,2025-06-11 23:07:46.950,6.0,received
79,2025-06-11 23:07:46.975,2025-06-11 23:07:46.981,6.0,received
80,2025-06-11 23:07:47.005,2025-06-11 23:07:47.011,6.0,received
81,2025-06-11 23:07:47.035,2025-06-11 23:07:47.041,6.0,received
82,2025-06-11 23:07:47.067,2025-06-11 23:07:47.073,6.0,received
83,2025-06-11 23:07:47.099,2025-06-11 23:07:47.104,5.0,received
84,2025-06-11 23:07:47.129,2025-06-11 23:07:47.135,6.0,received
85,2025-06-11 23:07:47.159,2025-06-11 23:07:47.165,6.0,received
86,2025-06-11 23:07:47.189,2025-06-11 23:07:47.195,6.0,received
87,2025-06-11 23:07:47.219,2025-06-11 23:07:47.225,6.0,received
88,2025-06-11 23:07:47.249,2025-06-11 23:07:47.255,6.0,received
89,2025-06-11 23:07:47.279,2025-06-11 23:07:47.285,6.0,received
90,2025-06-11 23:07:47.309,2025-06-11 23:07:47.315,6.0,received
91,2025-06-11 23:07:47.340,2025-06-11 23:07:47.346,6.0,received
92,2025-06-11 23:07:47.370,2025-06-11 23:07:47.376,6.0,received
93,2025-06-11 23:07:47.400,2025-06-11 23:07:47.406,6.0,received
94,2025-06-11 23:07:47.430,2025-06-11 23:07:47.436,6.0,received
95,2025-06-11 23:07:47.460,2025-06-11 23:07:47.467,7.0,received
96,2025-06-11 23:07:47.491,2025-06-11 23:07:47.495,4.0,received
97,2025-06-11 23:07:47.521,2025-06-11 23:07:47.527,6.0,received
98,2025-06-11 23:07:47.551,2025-06-11 23:07:47.557,6.0,received
99,2025-06-11 23:07:47.581,2025-06-11 23:07:47.587,6.0,received
100,2025-06-11 23:07:47.611,2025-06-11 23:07:47.618,7.0,received
101,2025-06-11 23:07:47.642,2025-06-11 23:07:47.648,6.0,received
102,2025-06-11 23:07:47.672,2025-06-11 23:07:47.678,6.0,received
103,2025-06-11 23:07:47.702,2025-06-11 23:07:47.708,6.0,received
104,2025-06-11 23:07:47.733,2025-06-11 23:07:47.738,5.0,received
105,2025-06-11 23:07:47.765,2025-06-11 23:07:47.771,6.0,received
106,2025-06-11 23:07:47.795,2025-06-11 23:07:47.801,6.0,received
107,2025-06-11 23:07:47.825,2025-06-11 23:07:47.831,6.0,received
108,2025-06-11 23:07:47.855,2025-06-11 23:07:47.861,6.0,received
109,2025-06-11 23:07:47.886,2025-06-11 23:07:47.892,6.0,received
110,2025-06-11 23:07:47.916,2025-06-11 23:07:47.923,7.0,received
111,2025-06-11 23:07:47.946,2025-06-11 23:07:47.952,6.0,received
