seq,timestamp_server,timestamp_robot,latency_ms,status
1,2024-11-07 23:35:42.489,2024-11-07 23:35:42.495,6.0,received
2,2024-11-07 23:35:42.526,2024-11-07 23:35:42.531,5.0,received
3,2024-11-07 23:35:42.555,2024-11-07 23:35:42.561,6.0,received
4,2024-11-07 23:35:42.585,2024-11-07 23:35:42.590,5.0,received
5,2024-11-07 23:35:42.615,2024-11-07 23:35:42.621,6.0,received
6,2024-11-07 23:35:42.645,2024-11-07 23:35:42.652,7.0,received
7,2024-11-07 23:35:42.675,2024-11-07 23:35:42.683,8.0,received
8,2024-11-07 23:35:42.706,2024-11-07 23:35:42.712,6.0,received
9,2024-11-07 23:35:42.737,2024-11-07 23:35:42.743,6.0,received
10,2024-11-07 23:35:42.766,2024-11-07 23:35:42.772,6.0,received
11,2024-11-07 23:35:42.796,2024-11-07 23:35:42.801,5.0,received
12,2024-11-07 23:35:42.826,2024-11-07 23:35:42.833,7.0,received
13,2024-11-07 23:35:42.856,2024-11-07 23:35:42.865,9.0,received
14,2024-11-07 23:35:42.886,2024-11-07 23:35:42.897,11.0,received
15,2024-11-07 23:35:42.916,2024-11-07 23:35:42.925,9.0,received
16,2024-11-07 23:35:42.947,2024-11-07 23:35:42.956,9.0,received
17,2024-11-07 23:35:42.977,2024-11-07 23:35:42.986,9.0,received
18,2024-11-07 23:35:43.007,2024-11-07 23:35:43.014,7.0,received
19,2024-11-07 23:35:43.037,2024-11-07 23:35:43.045,8.0,received
20,2024-11-07 23:35:43.068,2024-11-07 23:35:43.075,7.0,received
21,2024-11-07 23:35:43.098,2024-11-07 23:35:43.108,10.0,received
22,2024-11-07 23:35:43.128,2024-11-07 23:35:43.138,10.0,received
23,2024-11-07 23:35:43.158,2024-11-07 23:35:43.166,8.0,received
24,2024-11-07 23:35:43.188,2024-11-07 23:35:43.195,7.0,received
25,2024-11-07 23:35:43.217,2024-11-07 23:35:43.227,10.0,received
26,2024-11-07 23:35:43.248,2024-11-07 23:35:43.255,7.0,received
27,2024-11-07 23:35:43.278,2024-11-07 23:35:43.285,7.0,received
28,2024-11-07 23:35:43.308,2024-11-07 23:35:43.318,10.0,received
29,2024-11-07 23:35:43.338,2024-11-07 23:35:43.347,9.0,received
30,2024-11-07 23:35:43.368,2024-11-07 23:35:43.375,7.0,received
31,2024-11-07 23:35:43.398,2024-11-07 23:35:43.409,11.0,received
32,2024-11-07 23:35:43.428,2024-11-07 23:35:43.438,10.0,received
33,2024-11-07 23:35:43.458,2024-11-07 23:35:43.468,10.0,received
34,2024-11-07 23:35:43.488,2024-11-07 23:35:43.499,11.0,received
35,2024-11-07 23:35:43.518,2024-11-07 23:35:43.528,10.0,received
36,2024-11-07 23:35:43.549,2024-11-07 23:35:43.556,7.0,received
37,2024-11-07 23:35:43.579,2024-11-07 23:35:43.588,9.0,received
38,2024-11-07 23:35:43.609,2024-11-07 23:35:43.615,6.0,received
39,2024-11-07 23:35:43.639,2024-11-07 23:35:43.645,6.0,received
40,2024-11-07 23:35:43.669,2024-11-07 23:35:43.675,6.0,received
41,2024-11-07 23:35:43.699,2024-11-07 23:35:43.708,9.0,received
42,2024-11-07 23:35:43.729,2024-11-07 23:35:43.739,10.0,received
43,2024-11-07 23:35:43.759,2024-11-07 23:35:43.767,8.0,received
44,2024-11-07 23:35:43.789,2024-11-07 23:35:43.799,10.0,received
45,2024-11-07 23:35:43.819,2024-11-07 23:35:43.827,8.0,received
46,2024-11-07 23:35:43.849,2024-11-07 23:35:43.855,6.0,received
