seq,timestamp_server,timestamp_robot,latency_ms,status
1,2025-03-21 12:32:59.441,2025-03-21 12:32:59.447,6.0,received
2,2025-03-21 12:32:59.471,2025-03-21 12:32:59.476,5.0,received
3,2025-03-21 12:32:59.501,2025-03-21 12:32:59.506,5.0,received
4,2025-03-21 12:32:59.531,2025-03-21 12:32:59.538,7.0,received
5,2025-03-21 12:32:59.561,2025-03-21 12:32:59.567,6.0,received
6,2025-03-21 12:32:59.591,2025-03-21 12:32:59.597,6.0,received
7,2025-03-21 12:32:59.621,2025-03-21 12:32:59.627,6.0,received
8,2025-03-21 12:32:59.651,2025-03-21 12:32:59.658,7.0,received
9,2025-03-21 12:32:59.681,2025-03-21 12:32:59.687,6.0,received
10,2025-03-21 12:32:59.712,2025-03-21 12:32:59.720,8.0,received
11,2025-03-21 12:32:59.741,2025-03-21 12:32:59.748,7.0,received
12,2025-03-21 12:32:59.772,2025-03-21 12:32:59.777,5.0,received
13,2025-03-21 12:32:59.802,2025-03-21 12:32:59.808,6.0,received
14,2025-03-21 12:32:59.832,2025-03-21 12:32:59.842,10.0,received
15,2025-03-21 12:32:59.862,2025-03-21 12:32:59.867,5.0,received
16,2025-03-21 12:32:59.892,2025-03-21 12:32:59.898,6.0,received
17,2025-03-21 12:32:59.922,2025-03-21 12:32:59.927,5.0,received
18,2025-03-21 12:32:59.952,2025-03-21 12:32:59.962,10.0,received
19,2025-03-21 12:32:59.982,2025-03-21 12:32:59.988,6.0,received
20,2025-03-21 12:33:00.012,2025-03-21 12:33:00.018,6.0,received
21,2025-03-21 12:33:00.042,2025-03-21 12:33:00.048,6.0,received
22,2025-03-21 12:33:00.073,2025-03-21 12:33:00.078,5.0,received
23,2025-03-21 12:33:00.103,2025-03-21 12:33:00.108,5.0,received
24,2025-03-21 12:33:00.133,2025-03-21 12:33:00.138,5.0,received
25,2025-03-21 12:33:00.163,2025-03-21 12:33:00.168,5.0,received
26,2025-03-21 12:33:00.193,2025-03-21 12:33:00.202,9.0,received
27,2025-03-21 12:33:00.223,2025-03-21 12:33:00.230,7.0,received
28,2025-03-21 12:33:00.253,2025-03-21 12:33:00.258,5.0,received
29,2025-03-21 12:33:00.283,2025-03-21 12:33:00.289,6.0,received
30,2025-03-21 12:33:00.313,2025-03-21 12:33:00.319,6.0,received
31,2025-03-21 12:33:00.343,2025-03-21 12:33:00.349,6.0,received
32,2025-03-21 12:33:00.374,2025-03-21 12:33:00.379,5.0,received
33,2025-03-21 12:33:00.404,2025-03-21 12:33:00.410,6.0,received
34,2025-03-21 12:33:00.434,2025-03-21 12:33:00.439,5.0,received
35,2025-03-21 12:33:00.464,2025-03-21 12:33:00.469,5.0,received
36,2025-03-21 12:33:00.494,2025-03-21 12:33:00.499,5.0,received
37,2025-03-21 12:33:00.524,2025-03-21 12:33:00.530,6.0,received
38,2025-03-21 12:33:00.554,2025-03-21 12:33:00.560,6.0,received
39,2025-03-21 12:33:00.584,2025-03-21 12:33:00.590,6.0,received
40,2025-03-21 12:33:00.615,2025-03-21 12:33:00.620,5.0,received
41,2025-03-21 12:33:00.645,2025-03-21 12:33:00.651,6.0,received
42,2025-03-21 12:33:00.675,2025-03-21 12:33:00.680,5.0,received
43,2025-03-21 12:33:00.705,2025-03-21 12:33:00.711,6.0,received
44,2025-03-21 12:33:00.735,2025-03-21 12:33:00.741,6.0,received
45,2025-03-21 12:33:00.765,2025-03-21 12:33:00.771,6.0,received
46,2025-03-21 12:33:00.796,2025-03-21 12:33:00.801,5.0,received
47,2025-03-21 12:33:00.826,2025-03-21 12:33:00.831,5.0,received
48,2025-03-21 12:33:00.856,2025-03-21 12:33:00.861,5.0,received
49,2025-03-21 12:33:00.886,2025-03-21 12:33:00.892,6.0,received
50,2025-03-21 12:33:00.916,2025-03-21 12:33:00.921,5.0,received
51,2025-03-21 12:33:00.946,2025-03-21 12:33:00.952,6.0,received
52,2025-03-21 12:33:00.976,2025-03-21 12:33:00.982,6.0,received
53,2025-03-21 12:33:01.006,2025-03-21 12:33:01.012,6.0,received
54,2025-03-21 12:33:01.036,2025-03-21 12:33:01.043,7.0,received
55,2025-03-21 12:33:01.067,2025-03-21 12:33:01.072,5.0,received
56,2025-03-21 12:33:01.097,2025-03-21 12:33:01.102,5.0,received
57,2025-03-21 12:33:01.127,2025-03-21 12:33:01.134,7.0,received
58,2025-03-21 12:33:01.157,2025-03-21 12:33:01.164,7.0,received
59,2025-03-21 12:33:01.188,2025-03-21 12:33:01.193,5.0,received
60,2025-03-21 12:33:01.217,2025-03-21 12:33:01.225,8.0,received
61,2025-03-21 12:33:01.248,2025-03-21 12:33:01.253,5.0,received
62,2025-03-21 12:33:01.278,2025-03-21 12:33:01.284,6.0,received
63,2025-03-21 12:33:01.308,2025-03-21 12:33:01.313,5.0,received
64,2025-03-21 12:33:01.338,2025-03-21 12:33:01.343,5.0,received
65,2025-03-21 12:33:01.368,2025-03-21 12:33:01.373,5.0,received
66,2025-03-21 12:33:01.398,2025-03-21 12:33:01.403,5.0,received
67,2025-03-21 12:33:01.428,2025-03-21 12:33:01.434,6.0,received
68,2025-03-21 12:33:01.458,2025-03-21 12:33:01.464,6.0,received
69,2025-03-21 12:33:01.488,2025-03-21 12:33:01.494,6.0,received
70,2025-03-21 12:33:01.518,2025-03-21 12:33:01.524,6.0,received
71,2025-03-21 12:33:01.548,2025-03-21 12:33:01.554,6.0,received
72,2025-03-21 12:33:01.579,2025-03-21 12:33:01.584,5.0,received
73,2025-03-21 12:33:01.609,2025-03-21 12:33:01.614,5.0,received
74,2025-03-21 12:33:01.639,2025-03-21 12:33:01.645,6.0,received
75,2025-03-21 12:33:01.669,2025-03-21 12:33:01.675,6.0,received
76,2025-03-21 12:33:01.700,2025-03-21 12:33:01.706,6.0,received
77,2025-03-21 12:33:01.730,2025-03-21 12:33:01.740,10.0,received
78,2025-03-21 12:33:01.760,2025-03-21 12:33:01.765,5.0,received
79,2025-03-21 12:33:01.790,2025-03-21 12:33:01.796,6.0,received
