Attaching to:  10.11.32.219:4242
Server started! Waiting for streams from client...
session created:  10.11.66.177:53589
stream created:  3
Start forwarding? [write any letter]
Connected to mquic, connecting to Websocket.
2025-03-25 18:22:23,251 - INFO - SEQ - 1
2025-03-25 18:22:23,281 - INFO - SEQ - 2
2025-03-25 18:22:23,312 - INFO - SEQ - 3
2025-03-25 18:22:23,342 - INFO - SEQ - 4
2025-03-25 18:22:23,372 - INFO - SEQ - 5
2025-03-25 18:22:23,402 - INFO - SEQ - 6
2025-03-25 18:22:23,432 - INFO - SEQ - 7
2025-03-25 18:22:23,462 - INFO - SEQ - 8
2025-03-25 18:22:23,493 - INFO - SEQ - 9
2025-03-25 18:22:23,523 - INFO - SEQ - 10
2025-03-25 18:22:23,553 - INFO - SEQ - 11
2025-03-25 18:22:23,584 - INFO - SEQ - 12
2025-03-25 18:22:23,614 - INFO - SEQ - 13
2025-03-25 18:22:23,644 - INFO - SEQ - 14
2025-03-25 18:22:23,674 - INFO - SEQ - 15
2025-03-25 18:22:23,705 - INFO - SEQ - 16
2025-03-25 18:22:23,735 - INFO - SEQ - 17
2025-03-25 18:22:23,765 - INFO - SEQ - 18
2025-03-25 18:22:23,795 - INFO - SEQ - 19
2025-03-25 18:22:23,825 - INFO - SEQ - 20
2025-03-25 18:22:23,856 - INFO - SEQ - 21
2025-03-25 18:22:23,886 - INFO - SEQ - 22
2025-03-25 18:22:23,916 - INFO - SEQ - 23
2025-03-25 18:22:23,946 - INFO - SEQ - 24
2025-03-25 18:22:23,976 - INFO - SEQ - 25
2025-03-25 18:22:24,006 - INFO - SEQ - 26
2025-03-25 18:22:24,036 - INFO - SEQ - 27
2025-03-25 18:22:24,066 - INFO - SEQ - 28
2025-03-25 18:22:24,096 - INFO - SEQ - 29
2025-03-25 18:22:24,127 - INFO - SEQ - 30
2025-03-25 18:22:24,157 - INFO - SEQ - 31
2025-03-25 18:22:24,187 - INFO - SEQ - 32
2025-03-25 18:22:24,217 - INFO - SEQ - 33
2025-03-25 18:22:24,247 - INFO - SEQ - 34
2025-03-25 18:22:24,277 - INFO - SEQ - 35
2025-03-25 18:22:24,308 - INFO - SEQ - 36
2025-03-25 18:22:24,338 - INFO - SEQ - 37
2025-03-25 18:22:24,368 - INFO - SEQ - 38
2025-03-25 18:22:24,398 - INFO - SEQ - 39
2025-03-25 18:22:24,428 - INFO - SEQ - 40
2025-03-25 18:22:24,458 - INFO - SEQ - 41
2025-03-25 18:22:24,488 - INFO - SEQ - 42
2025-03-25 18:22:24,518 - INFO - SEQ - 43
2025-03-25 18:22:24,549 - INFO - SEQ - 44
2025-03-25 18:22:24,579 - INFO - SEQ - 45
2025-03-25 18:22:24,609 - INFO - SEQ - 46
2025-03-25 18:22:24,639 - INFO - SEQ - 47
2025-03-25 18:22:24,669 - INFO - SEQ - 48
2025-03-25 18:22:24,699 - INFO - SEQ - 49
2025-03-25 18:22:24,729 - INFO - SEQ - 50
2025-03-25 18:22:24,760 - INFO - SEQ - 51
2025-03-25 18:22:24,790 - INFO - SEQ - 52
2025-03-25 18:22:24,820 - INFO - SEQ - 53
2025-03-25 18:22:24,850 - INFO - SEQ - 54
2025-03-25 18:22:24,880 - INFO - SEQ - 55
2025-03-25 18:22:24,910 - INFO - SEQ - 56
2025-03-25 18:22:24,941 - INFO - SEQ - 57
2025-03-25 18:22:24,971 - INFO - SEQ - 58
2025-03-25 18:22:25,000 - INFO - SEQ - 59
2025-03-25 18:22:25,031 - INFO - SEQ - 60
2025-03-25 18:22:25,061 - INFO - SEQ - 61
2025-03-25 18:22:25,092 - INFO - SEQ - 62
2025-03-25 18:22:25,121 - INFO - SEQ - 63
2025-03-25 18:22:25,151 - INFO - SEQ - 64
2025-03-25 18:22:25,181 - INFO - SEQ - 65
2025-03-25 18:22:25,211 - INFO - SEQ - 66
2025-03-25 18:22:25,241 - INFO - SEQ - 67
2025-03-25 18:22:25,272 - INFO - SEQ - 68
2025-03-25 18:22:25,302 - INFO - SEQ - 69
2025-03-25 18:22:25,332 - INFO - SEQ - 70
2025-03-25 18:22:25,362 - INFO - SEQ - 71
2025-03-25 18:22:25,392 - INFO - SEQ - 72
2025-03-25 18:22:25,422 - INFO - SEQ - 73
2025-03-25 18:22:25,453 - INFO - SEQ - 74
2025-03-25 18:22:25,483 - INFO - SEQ - 75
2025-03-25 18:22:25,513 - INFO - SEQ - 76
2025-03-25 18:22:25,543 - INFO - SEQ - 77
2025-03-25 18:22:25,573 - INFO - SEQ - 78
2025-03-25 18:22:25,603 - INFO - SEQ - 79
2025-03-25 18:22:25,634 - INFO - SEQ - 80
2025-03-25 18:22:25,664 - INFO - SEQ - 81
2025-03-25 18:22:25,695 - INFO - SEQ - 82
2025-03-25 18:22:25,725 - INFO - SEQ - 83
2025-03-25 18:22:25,756 - INFO - SEQ - 84
2025-03-25 18:22:25,786 - INFO - SEQ - 85
2025-03-25 18:22:25,816 - INFO - SEQ - 86
2025-03-25 18:22:25,846 - INFO - SEQ - 87
2025-03-25 18:22:25,876 - INFO - SEQ - 88
2025-03-25 18:22:25,906 - INFO - SEQ - 89
2025-03-25 18:22:25,936 - INFO - SEQ - 90
2025-03-25 18:22:25,966 - INFO - SEQ - 91
2025-03-25 18:22:25,997 - INFO - SEQ - 92
2025-03-25 18:22:26,027 - INFO - SEQ - 93
2025-03-25 18:22:26,056 - INFO - SEQ - 94
2025-03-25 18:22:26,087 - INFO - SEQ - 95
2025-03-25 18:22:26,117 - INFO - SEQ - 96
2025-03-25 18:22:26,148 - INFO - SEQ - 97
2025-03-25 18:22:26,177 - INFO - SEQ - 98
2025-03-25 18:22:26,208 - INFO - SEQ - 99
2025-03-25 18:22:26,238 - INFO - SEQ - 100
2025-03-25 18:22:26,268 - INFO - SEQ - 101
2025-03-25 18:22:26,298 - INFO - SEQ - 102
2025-03-25 18:22:26,329 - INFO - SEQ - 103
2025-03-25 18:22:26,358 - INFO - SEQ - 104
2025-03-25 18:22:26,389 - INFO - SEQ - 105
2025-03-25 18:22:26,419 - INFO - SEQ - 106
2025-03-25 18:22:26,449 - INFO - SEQ - 107
2025-03-25 18:22:26,479 - INFO - SEQ - 108
2025-03-25 18:22:26,509 - INFO - SEQ - 109
2025-03-25 18:22:26,539 - INFO - SEQ - 110
2025-03-25 18:22:26,570 - INFO - SEQ - 111
2025-03-25 18:22:26,600 - INFO - SEQ - 112
2025-03-25 18:22:26,630 - INFO - SEQ - 113
2025-03-25 18:22:26,660 - INFO - SEQ - 114
2025-03-25 18:22:26,690 - INFO - SEQ - 115
2025-03-25 18:22:26,721 - INFO - SEQ - 116
