Attaching to:  10.11.32.219:4242
Server started! Waiting for streams from client...
session created:  10.11.66.177:37553
stream created:  3
Start forwarding? [write any letter]
Connected to mquic, connecting to Websocket.
2025-06-10 18:14:09,246 - INFO - SEQ - 112
2025-06-10 18:14:09,276 - INFO - SEQ - 113
2025-06-10 18:14:09,306 - INFO - SEQ - 114
2025-06-10 18:14:09,336 - INFO - SEQ - 115
2025-06-10 18:14:09,367 - INFO - SEQ - 116
2025-06-10 18:14:09,397 - INFO - SEQ - 117
2025-06-10 18:14:09,427 - INFO - SEQ - 118
2025-06-10 18:14:09,457 - INFO - SEQ - 119
2025-06-10 18:14:09,488 - INFO - SEQ - 120
2025-06-10 18:14:09,518 - INFO - SEQ - 121
2025-06-10 18:14:09,548 - INFO - SEQ - 122
2025-06-10 18:14:09,578 - INFO - SEQ - 123
2025-06-10 18:14:09,608 - INFO - SEQ - 124
2025-06-10 18:14:09,639 - INFO - SEQ - 125
2025-06-10 18:14:09,669 - INFO - SEQ - 126
2025-06-10 18:14:09,699 - INFO - SEQ - 127
2025-06-10 18:14:09,729 - INFO - SEQ - 128
2025-06-10 18:14:09,760 - INFO - SEQ - 129
2025-06-10 18:14:09,790 - INFO - SEQ - 130
2025-06-10 18:14:09,820 - INFO - SEQ - 131
2025-06-10 18:14:09,850 - INFO - SEQ - 132
2025-06-10 18:14:09,880 - INFO - SEQ - 133
2025-06-10 18:14:09,911 - INFO - SEQ - 134
2025-06-10 18:14:09,940 - INFO - SEQ - 135
2025-06-10 18:14:09,971 - INFO - SEQ - 136
2025-06-10 18:14:10,001 - INFO - SEQ - 137
2025-06-10 18:14:10,032 - INFO - SEQ - 138
2025-06-10 18:14:10,061 - INFO - SEQ - 139
2025-06-10 18:14:10,092 - INFO - SEQ - 140
2025-06-10 18:14:10,122 - INFO - SEQ - 141
2025-06-10 18:14:10,152 - INFO - SEQ - 142
2025-06-10 18:14:10,183 - INFO - SEQ - 143
2025-06-10 18:14:10,213 - INFO - SEQ - 144
2025-06-10 18:14:10,243 - INFO - SEQ - 145
2025-06-10 18:14:10,273 - INFO - SEQ - 146
2025-06-10 18:14:10,304 - INFO - SEQ - 147
2025-06-10 18:14:10,334 - INFO - SEQ - 148
2025-06-10 18:14:10,363 - INFO - SEQ - 149
2025-06-10 18:14:10,394 - INFO - SEQ - 150
2025-06-10 18:14:10,424 - INFO - SEQ - 151
2025-06-10 18:14:10,454 - INFO - SEQ - 152
2025-06-10 18:14:10,484 - INFO - SEQ - 153
2025-06-10 18:14:10,515 - INFO - SEQ - 154
2025-06-10 18:14:10,544 - INFO - SEQ - 155
2025-06-10 18:14:10,576 - INFO - SEQ - 156
2025-06-10 18:14:10,606 - INFO - SEQ - 157
2025-06-10 18:14:10,635 - INFO - SEQ - 158
2025-06-10 18:14:10,666 - INFO - SEQ - 159
2025-06-10 18:14:10,696 - INFO - SEQ - 160
2025-06-10 18:14:10,727 - INFO - SEQ - 161
2025-06-10 18:14:10,757 - INFO - SEQ - 162
2025-06-10 18:14:10,786 - INFO - SEQ - 163
2025-06-10 18:14:10,816 - INFO - SEQ - 164
2025-06-10 18:14:10,847 - INFO - SEQ - 165
2025-06-10 18:14:10,876 - INFO - SEQ - 166
2025-06-10 18:14:10,907 - INFO - SEQ - 167
2025-06-10 18:14:10,937 - INFO - SEQ - 168
2025-06-10 18:14:10,967 - INFO - SEQ - 169
2025-06-10 18:14:10,997 - INFO - SEQ - 170
2025-06-10 18:14:11,028 - INFO - SEQ - 171
2025-06-10 18:14:11,058 - INFO - SEQ - 172
2025-06-10 18:14:11,088 - INFO - SEQ - 173
2025-06-10 18:14:11,118 - INFO - SEQ - 174
2025-06-10 18:14:11,148 - INFO - SEQ - 175
2025-06-10 18:14:11,178 - INFO - SEQ - 176
2025-06-10 18:14:11,208 - INFO - SEQ - 177
2025-06-10 18:14:11,238 - INFO - SEQ - 178
2025-06-10 18:14:11,269 - INFO - SEQ - 179
2025-06-10 18:14:11,299 - INFO - SEQ - 180
2025-06-10 18:14:11,329 - INFO - SEQ - 181
2025-06-10 18:14:11,360 - INFO - SEQ - 182
2025-06-10 18:14:11,389 - INFO - SEQ - 183
