Attaching to:  10.11.32.219:4242
Server started! Waiting for streams from client...
session created:  10.11.66.177:59349
stream created:  3
Start forwarding? [write any letter]
Connected to mquic, connecting to Websocket.
2025-03-25 18:47:24,037 - INFO - SEQ - 1
2025-03-25 18:47:24,068 - INFO - SEQ - 2
2025-03-25 18:47:24,097 - INFO - SEQ - 3
2025-03-25 18:47:24,128 - INFO - SEQ - 4
2025-03-25 18:47:24,158 - INFO - SEQ - 5
2025-03-25 18:47:24,187 - INFO - SEQ - 6
2025-03-25 18:47:24,217 - INFO - SEQ - 7
2025-03-25 18:47:24,248 - INFO - SEQ - 8
2025-03-25 18:47:24,278 - INFO - SEQ - 9
2025-03-25 18:47:24,308 - INFO - SEQ - 10
2025-03-25 18:47:24,338 - INFO - SEQ - 11
2025-03-25 18:47:24,369 - INFO - SEQ - 12
2025-03-25 18:47:24,398 - INFO - SEQ - 13
2025-03-25 18:47:24,428 - INFO - SEQ - 14
2025-03-25 18:47:24,458 - INFO - SEQ - 15
2025-03-25 18:47:24,488 - INFO - SEQ - 16
2025-03-25 18:47:24,518 - INFO - SEQ - 17
2025-03-25 18:47:24,550 - INFO - SEQ - 18
2025-03-25 18:47:24,579 - INFO - SEQ - 19
2025-03-25 18:47:24,609 - INFO - SEQ - 20
2025-03-25 18:47:24,640 - INFO - SEQ - 21
2025-03-25 18:47:24,669 - INFO - SEQ - 22
2025-03-25 18:47:24,700 - INFO - SEQ - 23
2025-03-25 18:47:24,730 - INFO - SEQ - 24
2025-03-25 18:47:24,760 - INFO - SEQ - 25
2025-03-25 18:47:24,790 - INFO - SEQ - 26
2025-03-25 18:47:24,820 - INFO - SEQ - 27
2025-03-25 18:47:24,851 - INFO - SEQ - 28
2025-03-25 18:47:24,880 - INFO - SEQ - 29
2025-03-25 18:47:24,911 - INFO - SEQ - 30
2025-03-25 18:47:24,940 - INFO - SEQ - 31
2025-03-25 18:47:24,970 - INFO - SEQ - 32
2025-03-25 18:47:25,001 - INFO - SEQ - 33
2025-03-25 18:47:25,031 - INFO - SEQ - 34
2025-03-25 18:47:25,061 - INFO - SEQ - 35
2025-03-25 18:47:25,091 - INFO - SEQ - 36
2025-03-25 18:47:25,121 - INFO - SEQ - 37
2025-03-25 18:47:25,151 - INFO - SEQ - 38
2025-03-25 18:47:25,182 - INFO - SEQ - 39
2025-03-25 18:47:25,212 - INFO - SEQ - 40
2025-03-25 18:47:25,242 - INFO - SEQ - 41
2025-03-25 18:47:25,273 - INFO - SEQ - 42
2025-03-25 18:47:25,303 - INFO - SEQ - 43
2025-03-25 18:47:25,332 - INFO - SEQ - 44
2025-03-25 18:47:25,363 - INFO - SEQ - 45
2025-03-25 18:47:25,393 - INFO - SEQ - 46
2025-03-25 18:47:25,423 - INFO - SEQ - 47
2025-03-25 18:47:25,454 - INFO - SEQ - 48
2025-03-25 18:47:25,483 - INFO - SEQ - 49
2025-03-25 18:47:25,514 - INFO - SEQ - 50
