seq,timestamp_server,timestamp_robot,latency_ms,status
1,2025-03-25 18:29:20.178,2025-03-25 18:29:20.185,7.0,received
2,2025-03-25 18:29:20.208,2025-03-25 18:29:20.213,5.0,received
3,2025-03-25 18:29:20.238,2025-03-25 18:29:20.244,6.0,received
4,2025-03-25 18:29:20.269,2025-03-25 18:29:20.274,5.0,received
5,2025-03-25 18:29:20.299,2025-03-25 18:29:20.304,5.0,received
6,2025-03-25 18:29:20.329,2025-03-25 18:29:20.334,5.0,received
7,2025-03-25 18:29:20.359,2025-03-25 18:29:20.364,5.0,received
8,2025-03-25 18:29:20.389,2025-03-25 18:29:20.412,23.0,received
9,2025-03-25 18:29:20.419,2025-03-25 18:29:20.428,9.0,received
10,2025-03-25 18:29:20.449,2025-03-25 18:29:20.456,7.0,received
11,2025-03-25 18:29:20.480,2025-03-25 18:29:20.492,12.0,received
12,2025-03-25 18:29:20.510,2025-03-25 18:29:20.515,5.0,received
13,2025-03-25 18:29:20.539,2025-03-25 18:29:20.545,6.0,received
14,2025-03-25 18:29:20.570,2025-03-25 18:29:20.578,8.0,received
15,2025-03-25 18:29:20.600,2025-03-25 18:29:20.606,6.0,received
16,2025-03-25 18:29:20.630,2025-03-25 18:29:20.634,4.0,received
17,2025-03-25 18:29:20.660,2025-03-25 18:29:20.667,7.0,received
18,2025-03-25 18:29:20.690,2025-03-25 18:29:20.697,7.0,received
19,2025-03-25 18:29:20.721,2025-03-25 18:29:20.728,7.0,received
20,2025-03-25 18:29:20.751,2025-03-25 18:29:20.772,21.0,received
21,2025-03-25 18:29:20.780,2025-03-25 18:29:20.787,7.0,received
22,2025-03-25 18:29:20.811,2025-03-25 18:29:20.816,5.0,received
23,2025-03-25 18:29:20.841,2025-03-25 18:29:20.846,5.0,received
24,2025-03-25 18:29:20.872,2025-03-25 18:29:20.880,8.0,received
25,2025-03-25 18:29:20.902,2025-03-25 18:29:20.908,6.0,received
26,2025-03-25 18:29:20.932,2025-03-25 18:29:20.938,6.0,received
27,2025-03-25 18:29:20.962,2025-03-25 18:29:20.972,10.0,received
28,2025-03-25 18:29:20.992,2025-03-25 18:29:20.998,6.0,received
29,2025-03-25 18:29:21.022,2025-03-25 18:29:21.032,10.0,received
30,2025-03-25 18:29:21.053,2025-03-25 18:29:21.058,5.0,received
31,2025-03-25 18:29:21.083,2025-03-25 18:29:21.089,6.0,received
32,2025-03-25 18:29:21.113,2025-03-25 18:29:21.118,5.0,received
33,2025-03-25 18:29:21.143,2025-03-25 18:29:21.172,29.0,received
34,2025-03-25 18:29:21.173,2025-03-25 18:29:21.182,9.0,received
35,2025-03-25 18:29:21.203,2025-03-25 18:29:21.210,7.0,received
36,2025-03-25 18:29:21.233,2025-03-25 18:29:21.252,19.0,received
37,2025-03-25 18:29:21.263,2025-03-25 18:29:21.268,5.0,received
38,2025-03-25 18:29:21.294,2025-03-25 18:29:21.299,5.0,received
39,2025-03-25 18:29:21.325,2025-03-25 18:29:21.334,9.0,received
40,2025-03-25 18:29:21.354,2025-03-25 18:29:21.372,18.0,received
41,2025-03-25 18:29:21.385,2025-03-25 18:29:21.392,7.0,received
42,2025-03-25 18:29:21.415,2025-03-25 18:29:21.420,5.0,received
43,2025-03-25 18:29:21.444,2025-03-25 18:29:21.450,6.0,received
44,2025-03-25 18:29:21.475,2025-03-25 18:29:21.480,5.0,received
45,2025-03-25 18:29:21.505,2025-03-25 18:29:21.514,9.0,received
46,2025-03-25 18:29:21.536,2025-03-25 18:29:21.542,6.0,received
47,2025-03-25 18:29:21.566,2025-03-25 18:29:21.572,6.0,received
48,2025-03-25 18:29:21.596,2025-03-25 18:29:21.603,7.0,received
49,2025-03-25 18:29:21.626,2025-03-25 18:29:21.634,8.0,received
50,2025-03-25 18:29:21.656,2025-03-25 18:29:21.662,6.0,received
51,2025-03-25 18:29:21.687,2025-03-25 18:29:21.692,5.0,received
52,2025-03-25 18:29:21.717,2025-03-25 18:29:21.722,5.0,received
53,2025-03-25 18:29:21.746,2025-03-25 18:29:21.752,6.0,received
54,2025-03-25 18:29:21.776,2025-03-25 18:29:21.784,8.0,received
55,2025-03-25 18:29:21.807,2025-03-25 18:29:21.812,5.0,received
56,2025-03-25 18:29:21.837,2025-03-25 18:29:21.852,15.0,received
57,2025-03-25 18:29:21.867,2025-03-25 18:29:21.872,5.0,received
58,2025-03-25 18:29:21.897,2025-03-25 18:29:21.903,6.0,received
59,2025-03-25 18:29:21.928,2025-03-25 18:29:21.936,8.0,received
60,2025-03-25 18:29:21.958,2025-03-25 18:29:21.964,6.0,received
61,2025-03-25 18:29:21.988,2025-03-25 18:29:21.993,5.0,received
62,2025-03-25 18:29:22.019,2025-03-25 18:29:22.024,5.0,received
63,2025-03-25 18:29:22.049,2025-03-25 18:29:22.056,7.0,received
64,2025-03-25 18:29:22.078,2025-03-25 18:29:22.084,6.0,received
65,2025-03-25 18:29:22.109,2025-03-25 18:29:22.132,23.0,received
66,2025-03-25 18:29:22.139,2025-03-25 18:29:22.148,9.0,received
67,2025-03-25 18:29:22.169,2025-03-25 18:29:22.174,5.0,received
68,2025-03-25 18:29:22.200,2025-03-25 18:29:22.212,12.0,received
69,2025-03-25 18:29:22.230,2025-03-25 18:29:22.252,22.0,received
70,2025-03-25 18:29:22.260,2025-03-25 18:29:22.268,8.0,received
71,2025-03-25 18:29:22.289,2025-03-25 18:29:22.297,8.0,received
72,2025-03-25 18:29:22.319,2025-03-25 18:29:22.332,13.0,received
73,2025-03-25 18:29:22.350,2025-03-25 18:29:22.354,4.0,received
74,2025-03-25 18:29:22.380,2025-03-25 18:29:22.385,5.0,received
75,2025-03-25 18:29:22.410,2025-03-25 18:29:22.416,6.0,received
76,2025-03-25 18:29:22.441,2025-03-25 18:29:22.447,6.0,received
77,2025-03-25 18:29:22.470,2025-03-25 18:29:22.475,5.0,received
78,2025-03-25 18:29:22.500,2025-03-25 18:29:22.506,6.0,received
79,2025-03-25 18:29:22.531,2025-03-25 18:29:22.535,4.0,received
80,2025-03-25 18:29:22.561,2025-03-25 18:29:22.567,6.0,received
81,2025-03-25 18:29:22.591,2025-03-25 18:29:22.598,7.0,received
82,2025-03-25 18:29:22.621,2025-03-25 18:29:22.628,7.0,received
83,2025-03-25 18:29:22.651,2025-03-25 18:29:22.657,6.0,received
84,2025-03-25 18:29:22.682,2025-03-25 18:29:22.687,5.0,received
85,2025-03-25 18:29:22.712,2025-03-25 18:29:22.720,8.0,received
86,2025-03-25 18:29:22.742,2025-03-25 18:29:22.750,8.0,received
87,2025-03-25 18:29:22.772,2025-03-25 18:29:22.777,5.0,received
88,2025-03-25 18:29:22.802,2025-03-25 18:29:22.812,10.0,received
89,2025-03-25 18:29:22.833,2025-03-25 18:29:22.837,4.0,received
90,2025-03-25 18:29:22.863,2025-03-25 18:29:22.870,7.0,received
91,2025-03-25 18:29:22.892,2025-03-25 18:29:22.899,7.0,received
92,2025-03-25 18:29:22.923,2025-03-25 18:29:22.932,9.0,received
93,2025-03-25 18:29:22.953,2025-03-25 18:29:22.962,9.0,received
94,2025-03-25 18:29:22.983,2025-03-25 18:29:23.012,29.0,received
95,2025-03-25 18:29:23.014,2025-03-25 18:29:23.022,8.0,received
96,2025-03-25 18:29:23.044,2025-03-25 18:29:23.052,8.0,received
97,2025-03-25 18:29:23.074,2025-03-25 18:29:23.079,5.0,received
98,2025-03-25 18:29:23.104,2025-03-25 18:29:23.110,6.0,received
99,2025-03-25 18:29:23.134,2025-03-25 18:29:23.140,6.0,received
100,2025-03-25 18:29:23.164,2025-03-25 18:29:23.174,10.0,received
101,2025-03-25 18:29:23.195,2025-03-25 18:29:23.202,7.0,received
102,2025-03-25 18:29:23.225,2025-03-25 18:29:23.231,6.0,received
103,2025-03-25 18:29:23.255,2025-03-25 18:29:23.259,4.0,received
104,2025-03-25 18:29:23.285,2025-03-25 18:29:23.289,4.0,received
105,2025-03-25 18:29:23.315,2025-03-25 18:29:23.322,7.0,received
106,2025-03-25 18:29:23.345,2025-03-25 18:29:23.351,6.0,received
107,2025-03-25 18:29:23.375,2025-03-25 18:29:23.382,7.0,received
108,2025-03-25 18:29:23.406,2025-03-25 18:29:23.412,6.0,received
109,2025-03-25 18:29:23.436,2025-03-25 18:29:23.452,16.0,received
110,2025-03-25 18:29:23.466,2025-03-25 18:29:23.472,6.0,received
111,2025-03-25 18:29:23.496,2025-03-25 18:29:23.501,5.0,received
112,2025-03-25 18:29:23.526,2025-03-25 18:29:23.532,6.0,received
113,2025-03-25 18:29:23.557,2025-03-25 18:29:23.561,4.0,received
114,2025-03-25 18:29:23.586,2025-03-25 18:29:23.591,5.0,received
115,2025-03-25 18:29:23.617,2025-03-25 18:29:23.626,9.0,received
116,2025-03-25 18:29:23.647,2025-03-25 18:29:23.656,9.0,received
117,2025-03-25 18:29:23.677,2025-03-25 18:29:23.692,15.0,received
118,2025-03-25 18:29:23.707,2025-03-25 18:29:23.712,5.0,received
119,2025-03-25 18:29:23.737,2025-03-25 18:29:23.742,5.0,received
120,2025-03-25 18:29:23.767,2025-03-25 18:29:23.772,5.0,received
121,2025-03-25 18:29:23.797,2025-03-25 18:29:23.812,15.0,received
122,2025-03-25 18:29:23.828,2025-03-25 18:29:23.834,6.0,received
