start_time,stop_time,delay,jitter,packet_loss,throughput_rcv,throughput_sent
2023-06-23 20:01:00+00:00,2023-06-23 20:02:00+00:00,2652217.223946790,1606091.928251120,0.0,13941.254988913500,13943.574279379200
2023-06-23 20:02:00+00:00,2023-06-23 20:03:00+00:00,2575748.747252750,1716840.1766004400,0.0,13781.912087912100,13781.912087912100
2023-06-23 20:03:00+00:00,2023-06-23 20:04:00+00:00,2566178.09030837,1733949.7777777800,0.0,13837.612334801800,13835.308370044100
2023-06-23 20:04:00+00:00,2023-06-23 20:05:00+00:00,2557010.953947370,1718538.6666666700,0.0,13765.819780219800,13765.819780219800
2023-06-23 20:05:00+00:00,2023-06-23 20:06:00+00:00,2549911.6283185800,1718577.7528089900,0.0,13896.526548672600,13898.840707964600
2023-06-23 20:06:00+00:00,2023-06-23 20:07:00+00:00,2536703.507658640,1714819.3832599100,0.0,13723.886214442000,13723.886214442000
2023-06-23 20:07:00+00:00,2023-06-23 20:08:00+00:00,2517666.4103139000,1717821.0884353700,0.0,14085.82062780270,14083.47533632290
2023-06-23 20:08:00+00:00,2023-06-23 20:09:00+00:00,2501873.088095240,1686659.5693779900,0.0,14937.87619047620,14940.366666666700
2023-06-23 20:09:00+00:00,2023-06-23 20:10:00+00:00,1512187.061674010,816648.6547085200,0.0,13811.797802197800,13811.797802197800
2023-06-23 20:10:00+00:00,2023-06-23 20:11:00+00:00,1506950.055309730,818149.6629213480,0.0,13864.128318584100,13864.128318584100
2023-06-23 20:11:00+00:00,2023-06-23 20:12:00+00:00,1484033.112831860,820545.2914798210,0.0,13905.783185840700,13905.783185840700
2023-06-23 20:12:00+00:00,2023-06-23 20:13:00+00:00,1490121.068432670,838036.9127516780,0.0,13847.377483443700,13845.068432671100
2023-06-23 20:13:00+00:00,2023-06-23 20:14:00+00:00,1460656.957589290,814757.8828828830,0.0,14021.548098434000,14021.548098434000
2023-06-23 20:14:00+00:00,2023-06-23 20:15:00+00:00,1480815.031746030,881818.3486238530,0.0,14203.828054298600,14206.194570135700
2023-06-23 20:15:00+00:00,2023-06-23 20:16:00+00:00,1608755.138392860,1052031.151241540,0.0,14018.267857142900,14018.267857142900
2023-06-23 20:16:00+00:00,2023-06-23 20:17:00+00:00,1599796.421633550,1118311.2831858400,0.0,13865.849889624700,13863.540838852100
2023-06-23 20:17:00+00:00,2023-06-23 20:18:00+00:00,1069568.618942730,465261.2472160360,0.0,13851.995584989000,13854.30463576160
2023-06-23 20:18:00+00:00,2023-06-23 20:19:00+00:00,1100837.358744400,408144.2696629210,0.0,14037.92841163310,14035.58836689040
2023-06-23 20:19:00+00:00,2023-06-23 20:20:00+00:00,1100097.090507730,386794.22222222200,0.0,13838.1412803532,13840.450331125800
2023-06-23 20:20:00+00:00,2023-06-23 20:21:00+00:00,1095522.848351650,406588.96247240600,0.0,13800.303296703300,13800.303296703300
2023-06-23 20:21:00+00:00,2023-06-23 20:22:00+00:00,1190904.195604400,590297.1302428260,0.0,13795.705494505500,13793.406593406600
2023-06-23 20:22:00+00:00,2023-06-23 20:23:00+00:00,1586979.287946430,1079796.6367713000,0.0,14001.924107142900,14001.924107142900
2023-06-23 20:23:00+00:00,2023-06-23 20:24:00+00:00,1980932.748344370,1586158.7583148600,0.0,13851.995584989000,13851.995584989000
2023-06-23 20:24:00+00:00,2023-06-23 20:25:00+00:00,1418930.002257340,903612.0181405900,0.0,14176.487584650100,14176.487584650100
2023-06-23 20:25:00+00:00,2023-06-23 20:26:00+00:00,992216.137554590,388263.73626373600,0.0,13696.205240174700,13696.205240174700
2023-06-23 20:26:00+00:00,2023-06-23 20:27:00+00:00,981365.154185020,391502.4498886410,0.0,13858.922737306800,13858.922737306800
2023-06-23 20:27:00+00:00,2023-06-23 20:28:00+00:00,1004174.845474610,441486.8888888890,0.0,13823.788546255500,13821.484581497800
2023-06-23 20:28:00+00:00,2023-06-23 20:29:00+00:00,1261891.794247790,822271.0467706010,0.0,13911.104212860300,13913.423503325900
2023-06-23 20:29:00+00:00,2023-06-23 20:30:00+00:00,1661657.245495500,1294886.0730593600,0.0,14128.067567567600,14128.067567567600
2023-06-23 20:30:00+00:00,2023-06-23 20:31:00+00:00,2047322.846491230,1744756.8281938300,0.0,13733.041575492300,13733.041575492300
2023-06-23 20:31:00+00:00,2023-06-23 20:32:00+00:00,2135782.145089290,1848363.9821029100,0.0,14033.24832214770,14033.24832214770
2023-06-23 20:32:00+00:00,2023-06-23 20:33:00+00:00,1144606.461538460,703759.866962306,0.0,13776.921052631600,13774.627192982500
2023-06-23 20:33:00+00:00,2023-06-23 20:34:00+00:00,906954.485651210,427302.0134228190,0.0,13849.686534216300,13849.686534216300
2023-06-23 20:34:00+00:00,2023-06-23 20:35:00+00:00,1103963.514348790,723668.1514476620,0.0,13854.30463576160,13854.30463576160
2023-06-23 20:35:00+00:00,2023-06-23 20:36:00+00:00,1489447.075723830,1167288.48758465,0.0,13989.376391982200,13989.376391982200
2023-06-23 20:36:00+00:00,2023-06-23 20:37:00+00:00,1933883.105145410,1717034.6846846800,0.0,14038.914798206300,14041.260089686100
2023-06-23 20:37:00+00:00,2023-06-23 20:38:00+00:00,2039475.116331100,1848539.6396396400,0.0,14043.950892857100,14043.950892857100
2023-06-23 20:38:00+00:00,2023-06-23 20:39:00+00:00,2035498.45515695,1843027.9279279300,0.0,14024.843049327400,14024.843049327400
2023-06-23 20:39:00+00:00,2023-06-23 20:40:00+00:00,1610643.65625,1359573.5891647900,0.0,14070.68903803130,14070.68903803130
