start_time,stop_time,delay,jitter
2023-06-23 16:51:00+00:00,2023-06-23 16:52:00+00:00,1825026.535242290,1859887.973273940
2023-06-23 16:52:00+00:00,2023-06-23 16:53:00+00:00,1820080.425389760,1871150.0
2023-06-23 16:53:00+00:00,2023-06-23 16:54:00+00:00,1815012.538461540,1884279.157427940
2023-06-23 16:54:00+00:00,2023-06-23 16:55:00+00:00,1816279.145054950,1861216.888888890
2023-06-23 16:55:00+00:00,2023-06-23 16:56:00+00:00,1858235.803964760,1749439.024390240
2023-06-23 16:56:00+00:00,2023-06-23 16:57:00+00:00,1924465.521929830,1455012.1412803500
2023-06-23 16:57:00+00:00,2023-06-23 16:58:00+00:00,1727197.816777040,1788394.0
2023-06-23 16:58:00+00:00,2023-06-23 16:59:00+00:00,1668192.673960610,1894590.3296703300
2023-06-23 16:59:00+00:00,2023-06-23 17:00:00+00:00,1654017.210643020,1888779.3333333300
2023-06-23 17:00:00+00:00,2023-06-23 17:01:00+00:00,1680293.004504510,1819145.1025056900
2023-06-23 17:01:00+00:00,2023-06-23 17:02:00+00:00,1780699.6466666700,1604774.2729306500
2023-06-23 17:02:00+00:00,2023-06-23 17:03:00+00:00,1843657.210176990,1432136.4653243800
2023-06-23 17:03:00+00:00,2023-06-23 17:04:00+00:00,1859526.7577777800,1388551.7857142900
2023-06-23 17:04:00+00:00,2023-06-23 17:05:00+00:00,1804337.929359820,1489747.4501108600
2023-06-23 17:05:00+00:00,2023-06-23 17:06:00+00:00,1586464.540481400,1885050.8849557500
2023-06-23 17:06:00+00:00,2023-06-23 17:07:00+00:00,1588078.183856500,1856904.288939050
2023-06-23 17:07:00+00:00,2023-06-23 17:08:00+00:00,1655501.568764570,1717480.56206089
2023-06-23 17:08:00+00:00,2023-06-23 17:09:00+00:00,1758922.464052290,1507654.9668874200
2023-06-23 17:09:00+00:00,2023-06-23 17:10:00+00:00,1796902.885281390,1421677.874186550
2023-06-23 17:10:00+00:00,2023-06-23 17:11:00+00:00,1789661.203463200,1412030.8695652200
2023-06-23 17:11:00+00:00,2023-06-23 17:12:00+00:00,1794726.88377193,1412066.2222222200
2023-06-23 17:12:00+00:00,2023-06-23 17:13:00+00:00,1594623.746136870,1760548.55233853
2023-06-23 17:13:00+00:00,2023-06-23 17:14:00+00:00,1565022.518847010,1794628.8590604000
2023-06-23 17:14:00+00:00,2023-06-23 17:15:00+00:00,1627102.57112069,1648589.1304347800
2023-06-23 17:15:00+00:00,2023-06-23 17:16:00+00:00,1682778.171428570,1523343.1415929200
2023-06-23 17:16:00+00:00,2023-06-23 17:17:00+00:00,1736330.310421290,1396418.3035714300
2023-06-23 17:17:00+00:00,2023-06-23 17:18:00+00:00,1711310.742152470,1389566.2921348300
2023-06-23 17:18:00+00:00,2023-06-23 17:19:00+00:00,1670166.362637360,1378517.6991150400
2023-06-23 17:19:00+00:00,2023-06-23 17:20:00+00:00,1669549.037280700,1395437.7192982500
2023-06-23 17:20:00+00:00,2023-06-23 17:21:00+00:00,1517896.096916300,1520262.7494456800
2023-06-23 17:21:00+00:00,2023-06-23 17:22:00+00:00,1515477.452538630,1396286.6369710500
2023-06-23 17:22:00+00:00,2023-06-23 17:23:00+00:00,1514910.387024610,1399015.8371040700
2023-06-23 17:23:00+00:00,2023-06-23 17:24:00+00:00,1518863.484649120,1415269.3156732900
2023-06-23 17:24:00+00:00,2023-06-23 17:25:00+00:00,1541310.408388520,1344703.125
2023-06-23 17:25:00+00:00,2023-06-23 17:26:00+00:00,1605535.741721860,1156160.888888890
2023-06-23 17:26:00+00:00,2023-06-23 17:27:00+00:00,1677692.623608020,995473.1543624160
2023-06-23 17:27:00+00:00,2023-06-23 17:28:00+00:00,1552354.195505620,1202818.058690750
2023-06-23 17:28:00+00:00,2023-06-23 17:29:00+00:00,1438617.8362831900,1414746.188340810
2023-06-23 17:29:00+00:00,2023-06-23 17:30:00+00:00,1478545.268888890,1408599.107142860
2023-06-23 17:30:00+00:00,2023-06-23 17:31:00+00:00,1710420.185022030,1462958.574610250
2023-06-23 17:31:00+00:00,2023-06-23 17:32:00+00:00,2312033.412946430,1477629.954954960
2023-06-23 17:32:00+00:00,2023-06-23 17:33:00+00:00,3035817.969298250,1469566.9642857100
2023-06-23 17:33:00+00:00,2023-06-23 17:34:00+00:00,3328537.37416481,1397743.4977578500
2023-06-23 17:34:00+00:00,2023-06-23 17:35:00+00:00,3328980.690789470,1389777.4834437100
2023-06-23 17:35:00+00:00,2023-06-23 17:36:00+00:00,3127733.599128540,1764015.5701754400
2023-06-23 17:36:00+00:00,2023-06-23 17:37:00+00:00,3052814.824175820,1892902.4282560700
